weather_condition,time,stop_location,accident_severity,crime_category,passenger_count
Foggy,Evening,Zone A,Major,Vandalism,124.30664242418797
Cloudy,Morning,Zone C,None,Vandalism,100.97553059328312
Foggy,Afternoon,Zone B,None,Vandalism,46.960156373118345
Cloudy,Afternoon,Zone B,Minor,Drug Offense,103.0
Clear,Morning,Zone C,None,Drug Offense,95.38228305787432
Stormy,Morning,Zone A,None,Assault,143.78968947688205
Stormy,Morning,Zone E,None,Assault,143.9345328839347
Stormy,Night,Zone E,Major,Drug Offense,49.23456385549946
Foggy,Afternoon,Zone C,None,Theft,59.48934739966561
Clear,Morning,Zone D,Severe,Assault,200.35378041415652
Foggy,Morning,Zone A,Minor,Theft,146.6327442011518
Foggy,Morning,Zone D,Minor,Drug Offense,175.18323505322942
Clear,Evening,Zone D,None,Theft,99.75971832980893
Clear,Afternoon,Zone D,Major,Theft,59.25230423191414
Clear,Afternoon,Zone A,Severe,Theft,43.508127043150594
Clear,Night,Zone D,Minor,Assault,62.46601969892578
Stormy,Evening,Zone C,None,Theft,153.87980793320435
Rainy,Afternoon,Zone B,Major,Assault,55.0
Rainy,Night,Zone C,Minor,None,118.0
Clear,Night,Zone B,Major,Theft,46.153373434317764
Rainy,Morning,Zone E,Minor,None,159.8605777926917
Rainy,Night,Zone D,None,Theft,75.56577205207616
Clear,Night,Zone E,Severe,None,87.25785204396755
Rainy,Evening,Zone E,None,Drug Offense,77.11918639864813
Foggy,Morning,Zone A,None,None,143.55307441639235
Cloudy,Morning,Zone D,Severe,None,250.18761891314284
Cloudy,Morning,Zone E,Major,Vandalism,110.08581723607283
Clear,Night,Zone B,Minor,None,65.03307343453794
Stormy,Morning,Zone B,Minor,None,210.2933877473451
Clear,Afternoon,Zone A,Severe,Assault,67.90484926065461
Stormy,Evening,Zone E,Severe,Theft,244.30235101805926
Cloudy,Evening,Zone E,None,Vandalism,101.9243203014773
Clear,Night,Zone E,Severe,Assault,98.28731584739168
Foggy,Morning,Zone A,Severe,Vandalism,199.80898836108065
Rainy,Evening,Zone D,Minor,Theft,122.68175188041323
Stormy,Night,Zone E,None,None,75.96361052386683
Rainy,Night,Zone E,None,Theft,59.039561579084165
Rainy,Evening,Zone C,None,None,104.74863202693749
Clear,Morning,Zone B,Severe,Vandalism,122.8874786556126
Rainy,Morning,Zone D,Major,None,129.10493775401702
Foggy,Afternoon,Zone D,Major,Theft,73.0
Rainy,Afternoon,Zone D,Major,None,67.0
Clear,Morning,Zone E,Minor,Theft,87.08786084061258
Foggy,Afternoon,Zone C,None,Theft,51.55911812078506
Cloudy,Afternoon,Zone D,Major,Assault,90.0
Rainy,Evening,Zone A,Major,Theft,90.93178585551956
Clear,Morning,Zone A,Minor,Assault,124.89804033641146
Cloudy,Evening,Zone B,Major,Drug Offense,160.5485566835597
Cloudy,Evening,Zone C,Major,Assault,165.5916723295927
Stormy,Night,Zone D,Major,None,80.16894252552015
Foggy,Morning,Zone C,Major,Drug Offense,158.25871879766459
Rainy,Evening,Zone A,None,Assault,101.00738233580823
Clear,Afternoon,Zone D,None,Assault,37.4323763842981
Stormy,Night,Zone E,Severe,Vandalism,102.76299803908914
Foggy,Afternoon,Zone A,None,Assault,74.89857016636182
Stormy,Night,Zone B,Major,Drug Offense,39.917660112407304
Foggy,Afternoon,Zone D,None,None,69.14810098421324
Foggy,Afternoon,Zone B,Minor,Assault,85.0
Rainy,Afternoon,Zone C,None,None,63.12415401775591
Foggy,Evening,Zone B,Severe,Theft,187.13142288768898
Stormy,Morning,Zone B,Severe,Assault,139.0621582201932
Foggy,Night,Zone E,Major,None,91.0
Rainy,Evening,Zone B,None,Theft,94.11331791408062
Rainy,Night,Zone E,None,Drug Offense,26.743692411187048
Stormy,Evening,Zone B,Minor,Theft,167.83706197025006
Cloudy,Night,Zone E,Severe,Theft,63.456453100663396
Cloudy,Night,Zone A,Minor,Assault,104.0
Foggy,Afternoon,Zone E,Severe,Assault,99.09919194912008
Clear,Night,Zone A,Major,None,83.67568450556229
Foggy,Night,Zone A,None,Theft,44.85322372620905
Stormy,Afternoon,Zone D,Minor,Theft,92.88116785596661
Stormy,Evening,Zone A,Severe,Theft,170.37087399751854
Stormy,Evening,Zone D,Severe,Vandalism,185.9307609955812
Stormy,Morning,Zone E,None,None,115.1830696085265
Stormy,Morning,Zone C,Severe,Assault,166.56672853401867
Rainy,Morning,Zone D,Severe,Drug Offense,183.17276986785006
Cloudy,Morning,Zone C,Minor,Theft,119.47096954260351
Stormy,Night,Zone E,None,Drug Offense,72.8144391311182
Clear,Night,Zone D,Minor,Drug Offense,65.23520837070743
Clear,Morning,Zone E,Minor,Assault,115.94602673871775
Clear,Afternoon,Zone C,None,None,50.100112511522816
Clear,Morning,Zone E,Severe,Vandalism,111.95146667012726
Rainy,Evening,Zone C,Major,None,117.55512809807567
Clear,Night,Zone A,Minor,Drug Offense,77.47381869851523
Stormy,Afternoon,Zone C,Severe,None,55.70673330442657
Foggy,Evening,Zone C,Severe,Vandalism,209.40773748200596
Clear,Afternoon,Zone A,Major,Vandalism,61.46582282487409
Rainy,Afternoon,Zone D,Minor,Vandalism,101.0
Rainy,Morning,Zone B,Major,Drug Offense,134.45468685948586
Clear,Evening,Zone D,Major,None,93.51898545338769
Foggy,Morning,Zone B,Minor,Assault,147.20134023522968
Clear,Evening,Zone A,Minor,Vandalism,110.21289973332163
Rainy,Night,Zone D,None,Assault,47.12711114110797
Cloudy,Evening,Zone E,Minor,Assault,158.90216248315792
Stormy,Night,Zone E,Major,Drug Offense,84.81610270548914
Rainy,Night,Zone D,Severe,Vandalism,54.30797454793196
Clear,Morning,Zone E,None,Drug Offense,78.0518188333484
Stormy,Night,Zone A,None,Drug Offense,64.39360877945163
Clear,Morning,Zone E,None,None,69.7751149209441
Clear,Afternoon,Zone E,None,Drug Offense,41.891751740446075
Cloudy,Afternoon,Zone B,Major,None,78.0
Stormy,Afternoon,Zone B,Minor,None,138.5860593122528
Stormy,Evening,Zone C,Major,Vandalism,125.51799407710217
Cloudy,Night,Zone A,Major,Assault,60.0
Rainy,Morning,Zone E,Minor,Vandalism,196.58679425301713
Clear,Afternoon,Zone A,None,None,52.8492065483212
Foggy,Morning,Zone A,Major,Theft,109.54269603292488
Clear,Afternoon,Zone B,None,Assault,49.14982552241368
Clear,Night,Zone E,Severe,Assault,48.61649690965842
Rainy,Afternoon,Zone C,Minor,Theft,93.0
Clear,Morning,Zone D,None,Vandalism,63.78190254354987
Cloudy,Afternoon,Zone C,Minor,Theft,94.0
Cloudy,Morning,Zone B,None,Theft,109.96482098335761
Stormy,Afternoon,Zone C,Severe,Vandalism,52.93464638106736
Foggy,Morning,Zone B,Minor,Theft,190.97567504856457
Clear,Afternoon,Zone B,Severe,Theft,69.22901806160803
Clear,Night,Zone A,Severe,None,49.425372287355415
Rainy,Afternoon,Zone E,Severe,Drug Offense,44.641003584125755
Cloudy,Evening,Zone D,Minor,Vandalism,183.02395379084666
Foggy,Morning,Zone B,Severe,None,158.4477050488481
Stormy,Afternoon,Zone B,Minor,Vandalism,80.96750423121713
Cloudy,Evening,Zone A,None,Theft,114.35984157903465
Stormy,Morning,Zone D,Major,None,164.0683781175546
Rainy,Afternoon,Zone B,Severe,Assault,81.69117710964977
Rainy,Afternoon,Zone E,None,Assault,77.56844560380505
Clear,Night,Zone E,Severe,Theft,75.46432608314359
Foggy,Afternoon,Zone A,None,Assault,61.58125800271913
Stormy,Morning,Zone B,None,Theft,180.65695523457504
Cloudy,Evening,Zone D,None,Drug Offense,90.18664623035025
Rainy,Afternoon,Zone A,Severe,None,107.59286904838248
Clear,Evening,Zone A,Major,Vandalism,112.77489372802742
Clear,Morning,Zone C,Major,Drug Offense,75.88305009573592
Stormy,Morning,Zone A,Minor,Theft,223.71182706914675
Rainy,Afternoon,Zone C,Major,Assault,69.0
Foggy,Night,Zone C,Severe,Vandalism,117.9953188432247
Rainy,Afternoon,Zone B,Minor,None,92.0
Stormy,Night,Zone E,Severe,Theft,24.10485701336448
Stormy,Afternoon,Zone D,Severe,None,87.30389956412128
Rainy,Evening,Zone A,Severe,Vandalism,151.06594359630083
Stormy,Night,Zone B,Major,None,65.07326295764476
Rainy,Night,Zone D,Minor,Assault,99.0
Cloudy,Evening,Zone A,None,Vandalism,93.32243278786945
Rainy,Afternoon,Zone E,Severe,Vandalism,69.27029323931029
Rainy,Morning,Zone E,Major,Theft,86.46323614681381
Stormy,Morning,Zone C,Minor,Drug Offense,168.5515654417837
Stormy,Afternoon,Zone C,Major,Assault,52.694958923888315
Clear,Evening,Zone D,Severe,Theft,96.8880408851461
Clear,Morning,Zone A,Major,Vandalism,159.47609222375786
Cloudy,Evening,Zone C,None,Assault,108.8329037551321
Clear,Afternoon,Zone B,Severe,Vandalism,39.118683266336724
Rainy,Evening,Zone C,Major,Vandalism,116.45562104994312
Stormy,Evening,Zone D,Major,Theft,98.2272685813541
Clear,Evening,Zone B,None,Assault,88.44314980680319
Clear,Morning,Zone E,Severe,None,192.43334119558696
Cloudy,Evening,Zone B,Major,Vandalism,142.50999861889218
Cloudy,Night,Zone D,None,Vandalism,64.53466417082495
Rainy,Evening,Zone E,Minor,Theft,183.53857124724087
Stormy,Evening,Zone A,Major,None,203.1721206874557
Cloudy,Afternoon,Zone D,None,Assault,38.095946804176556
Clear,Evening,Zone C,Severe,None,149.92667269864876
Stormy,Evening,Zone D,Severe,Assault,107.3191794840031
Stormy,Morning,Zone D,Major,Assault,198.31296451478315
Clear,Night,Zone D,None,None,37.47058564872726
Cloudy,Afternoon,Zone E,Severe,Theft,92.81257691401981
Clear,Night,Zone D,None,None,44.806288718940564
Stormy,Evening,Zone A,Severe,Theft,147.0222007279388
Foggy,Morning,Zone D,Severe,Theft,131.3744878873902
Foggy,Night,Zone C,Minor,None,95.0
Rainy,Night,Zone B,Severe,Vandalism,58.36620764136282
Clear,Night,Zone E,Major,Drug Offense,34.211108443836295
Clear,Night,Zone C,Major,Theft,57.91634949248375
Rainy,Night,Zone A,None,Theft,34.18327092629018
Rainy,Morning,Zone D,Severe,Assault,238.8681676780653
Rainy,Evening,Zone E,Minor,Vandalism,171.07919408119832
Stormy,Morning,Zone E,Major,Assault,170.41172136443456
Clear,Morning,Zone E,Major,None,116.38421528781109
Stormy,Morning,Zone C,None,Vandalism,80.72532523214932
Rainy,Morning,Zone B,Major,None,127.44403780369896
Clear,Evening,Zone B,Minor,None,110.33820385870887
Stormy,Evening,Zone A,Severe,Vandalism,79.96497372612357
Stormy,Morning,Zone C,Major,None,147.3962298112667
Rainy,Night,Zone C,Major,None,80.0
Clear,Evening,Zone C,None,Drug Offense,81.08041810383544
Rainy,Evening,Zone D,None,Vandalism,106.69174306933174
Clear,Morning,Zone C,Minor,Drug Offense,81.22694078806664
Foggy,Night,Zone C,Major,None,73.0
Cloudy,Night,Zone E,None,Vandalism,44.25489116126496
Cloudy,Morning,Zone E,Severe,Drug Offense,216.86304689539438
Cloudy,Morning,Zone E,Severe,Theft,197.07547809742803
Rainy,Evening,Zone C,Minor,Vandalism,131.06314844647954
Foggy,Evening,Zone C,Minor,None,146.1140172076229
Clear,Afternoon,Zone E,Major,None,52.177816300031736
Stormy,Afternoon,Zone A,Minor,Vandalism,120.24891946633635
Clear,Morning,Zone A,Severe,Vandalism,114.97677495762223
Stormy,Afternoon,Zone B,Major,Theft,60.81905481341416
Clear,Night,Zone D,Severe,Drug Offense,60.639628928274306
Foggy,Night,Zone D,None,None,51.937890535568
Stormy,Night,Zone B,Major,Drug Offense,0.0
Rainy,Evening,Zone E,Severe,Theft,234.08134729542678
Clear,Afternoon,Zone E,Severe,None,83.7480737160997
Clear,Afternoon,Zone C,Minor,Vandalism,72.87964891643756
Stormy,Morning,Zone D,Major,None,127.15890170332433
Rainy,Evening,Zone C,None,None,124.52179944489285
Rainy,Evening,Zone C,None,Assault,80.0024409366147
Foggy,Evening,Zone D,Minor,Assault,133.21391155480407
Rainy,Night,Zone E,None,Theft,33.54406904306429
Rainy,Evening,Zone A,Severe,Assault,174.9291215301155
Rainy,Afternoon,Zone E,Major,Vandalism,17.0
Cloudy,Morning,Zone E,Major,Theft,159.2573236237391
Foggy,Afternoon,Zone C,None,Drug Offense,31.53794659831267
Clear,Evening,Zone C,Severe,Drug Offense,142.28176147992207
Stormy,Morning,Zone C,Minor,None,189.702821724913
Clear,Night,Zone D,Minor,None,68.21429005124328
Foggy,Morning,Zone D,None,Drug Offense,119.75579351509823
Stormy,Evening,Zone B,Severe,Vandalism,165.12177613958562
Foggy,Evening,Zone C,Minor,Assault,205.49296971634814
Rainy,Morning,Zone D,Major,None,111.00596896950965
Stormy,Evening,Zone B,Minor,Theft,145.33803666688294
Rainy,Evening,Zone C,Minor,Drug Offense,122.09765917698051
Clear,Evening,Zone C,None,Assault,102.96371333127986
Clear,Evening,Zone A,None,None,77.90754049301805
Stormy,Morning,Zone D,Severe,Vandalism,226.54856454894232
Stormy,Morning,Zone B,Major,Assault,187.73433549393118
Foggy,Afternoon,Zone C,Severe,Vandalism,88.39288881632712
Foggy,Night,Zone D,None,Theft,57.9076639695016
Rainy,Night,Zone B,None,Vandalism,44.509271598925125
Stormy,Afternoon,Zone A,Minor,Drug Offense,67.90965636090424
Clear,Morning,Zone B,Severe,Drug Offense,119.54959387214127
Foggy,Afternoon,Zone C,Major,None,84.0
Foggy,Evening,Zone E,Minor,Assault,181.275645824303
Clear,Evening,Zone E,Minor,None,138.72370384078155
Foggy,Night,Zone A,Severe,Theft,84.7138934371065
Rainy,Morning,Zone C,None,None,125.64055891811637
Stormy,Night,Zone C,Severe,Vandalism,16.667445015558954
Clear,Afternoon,Zone D,None,Assault,29.93209115797326
Stormy,Night,Zone E,Minor,Drug Offense,96.97965761742323
Foggy,Night,Zone D,Major,Drug Offense,46.0
Foggy,Evening,Zone C,Major,None,107.48638185297318
Clear,Night,Zone A,None,Assault,38.17315228067218
Rainy,Afternoon,Zone E,Major,Drug Offense,71.0
Cloudy,Morning,Zone D,Severe,Drug Offense,147.98926236435116
Clear,Night,Zone A,None,Theft,41.640409648172074
Cloudy,Morning,Zone C,Minor,Drug Offense,134.38335461262153
Cloudy,Afternoon,Zone B,Major,Vandalism,74.0
Rainy,Night,Zone B,None,None,44.438627495458945
Cloudy,Morning,Zone E,Major,Assault,136.37768958080426
Cloudy,Evening,Zone A,None,Vandalism,78.63833172140275
Rainy,Evening,Zone D,Major,Theft,146.835832240442
Cloudy,Afternoon,Zone A,Major,Theft,86.0
Cloudy,Night,Zone E,Severe,Theft,67.39912232984666
Cloudy,Afternoon,Zone C,None,Vandalism,41.09557490567694
Clear,Morning,Zone A,Minor,Assault,123.86564808483384
Clear,Morning,Zone E,None,Assault,64.54489118695548
Clear,Afternoon,Zone E,Severe,Vandalism,45.75153510574872
Rainy,Morning,Zone D,Minor,Theft,102.13328277622492
Foggy,Afternoon,Zone C,Severe,Assault,85.37451778225139
Cloudy,Afternoon,Zone A,None,Vandalism,67.19737590018633
Cloudy,Evening,Zone E,Minor,Drug Offense,196.6941426881334
Rainy,Morning,Zone C,Minor,Assault,122.44241921401292
Cloudy,Afternoon,Zone D,None,None,60.71925855102662
Clear,Evening,Zone E,Minor,Theft,109.55139095988031
Foggy,Afternoon,Zone D,Minor,Drug Offense,99.0
Stormy,Morning,Zone C,Severe,Theft,223.31761784463163
Cloudy,Evening,Zone D,None,Drug Offense,92.99472727091295
Clear,Morning,Zone A,Minor,Assault,99.83285289711311
Stormy,Night,Zone D,Minor,Drug Offense,81.00583006874646
Foggy,Night,Zone B,Minor,None,89.0
Stormy,Night,Zone B,None,Assault,27.167925019508175
Clear,Night,Zone B,Severe,Theft,62.79608111134007
Stormy,Evening,Zone B,Severe,Assault,209.334216669181
Rainy,Morning,Zone A,None,Theft,82.01367379499021
Stormy,Afternoon,Zone E,Minor,Drug Offense,51.13596425796218
Cloudy,Afternoon,Zone B,Minor,None,84.0
Cloudy,Afternoon,Zone B,Severe,Vandalism,59.88693957588997
Rainy,Morning,Zone E,Severe,Drug Offense,129.29337055408854
Clear,Evening,Zone B,Major,Assault,114.7283546183539
Cloudy,Morning,Zone E,Major,Drug Offense,142.6157778443504
Foggy,Night,Zone B,Minor,Assault,106.0
Cloudy,Afternoon,Zone E,Major,Drug Offense,68.0
Cloudy,Morning,Zone E,Severe,Drug Offense,188.43391570460713
Clear,Night,Zone C,Major,None,66.35499510602894
Stormy,Night,Zone D,None,Assault,48.98322366770281
Cloudy,Evening,Zone E,None,None,118.74494408640642
Rainy,Afternoon,Zone B,Major,Drug Offense,39.0
Stormy,Morning,Zone A,Minor,Drug Offense,112.7989279202462
Foggy,Night,Zone E,Major,Assault,39.0
Clear,Night,Zone B,None,None,50.191463987273664
Foggy,Afternoon,Zone E,Major,Vandalism,43.0
Stormy,Morning,Zone C,Major,None,141.04430990606696
Stormy,Morning,Zone A,Major,Drug Offense,172.85013475942873
Stormy,Afternoon,Zone A,Severe,Theft,60.7302079022997
Foggy,Night,Zone B,None,None,63.45269775564632
Stormy,Evening,Zone D,Major,Vandalism,145.844495124947
Foggy,Afternoon,Zone C,Severe,Theft,41.72938540660077
Stormy,Night,Zone D,Minor,None,82.38308993187216
Rainy,Evening,Zone A,Severe,Theft,173.1647965061268
Stormy,Afternoon,Zone A,Major,Drug Offense,39.67876671182558
Foggy,Afternoon,Zone D,Major,Drug Offense,51.0
Cloudy,Night,Zone E,Major,Vandalism,75.0
Stormy,Afternoon,Zone D,Major,Assault,77.01238819925535
Cloudy,Morning,Zone D,Severe,Theft,210.88707025470862
Rainy,Morning,Zone E,Severe,Vandalism,154.75576839750545
Clear,Evening,Zone E,None,None,142.36342833413107
Rainy,Afternoon,Zone E,Major,Drug Offense,48.0
Stormy,Morning,Zone C,None,None,121.53664093252561
Cloudy,Night,Zone A,None,Assault,55.1200044576885
Cloudy,Night,Zone A,Minor,Theft,101.0
Foggy,Night,Zone E,Major,Vandalism,36.0
Cloudy,Morning,Zone E,None,Assault,58.363258817429724
Foggy,Afternoon,Zone C,Severe,Theft,98.95140449581535
Clear,Afternoon,Zone C,None,Drug Offense,49.646476504559516
Stormy,Afternoon,Zone B,None,Assault,55.18218738325999
Foggy,Evening,Zone D,Major,None,135.69116967514404
Clear,Afternoon,Zone A,Major,Vandalism,58.11238112910357
Cloudy,Morning,Zone A,Minor,Vandalism,147.5707537462829
Cloudy,Morning,Zone C,Severe,Vandalism,255.0374564958776
Clear,Afternoon,Zone D,None,Assault,38.56053882393847
Cloudy,Night,Zone C,None,Assault,68.46711126216537
Clear,Evening,Zone B,Minor,Drug Offense,95.70816764676995
Foggy,Evening,Zone B,Minor,Assault,208.84684821493468
Foggy,Morning,Zone B,Minor,None,159.07332101122756
Clear,Evening,Zone C,None,None,101.06387998032062
Foggy,Night,Zone D,Severe,None,99.04092250206658
Foggy,Afternoon,Zone E,Minor,Drug Offense,96.0
Foggy,Evening,Zone A,Severe,Theft,196.64563039290036
Rainy,Evening,Zone E,Severe,Vandalism,192.61624077673994
Stormy,Morning,Zone D,Major,Theft,114.27427190555618
Cloudy,Night,Zone C,Minor,None,85.0
Rainy,Morning,Zone C,Severe,Assault,152.9502608829998
Foggy,Morning,Zone C,None,Vandalism,105.72016349292834
Clear,Evening,Zone B,Major,Drug Offense,105.28916285443073
Foggy,Morning,Zone B,None,Assault,81.66747957911672
Stormy,Morning,Zone B,Minor,Theft,204.5725263031542
Foggy,Evening,Zone E,Minor,Theft,170.4808916114764
Clear,Evening,Zone A,Severe,None,98.75419840697863
Stormy,Evening,Zone C,Minor,Drug Offense,183.51022518924754
Foggy,Afternoon,Zone C,Minor,None,108.0
Stormy,Night,Zone E,Major,Drug Offense,84.23416552563148
Cloudy,Afternoon,Zone A,Severe,Drug Offense,130.74489239188472
Cloudy,Evening,Zone A,Severe,Vandalism,204.14195121786318
Foggy,Night,Zone E,Major,Drug Offense,77.0
Stormy,Morning,Zone C,Severe,Theft,165.41881571201478
Clear,Night,Zone D,None,Theft,52.65413897625757
Foggy,Evening,Zone D,None,Theft,107.62071938157496
Cloudy,Afternoon,Zone A,Major,Theft,75.0
Cloudy,Night,Zone A,Severe,Assault,68.85842057843335
Foggy,Morning,Zone C,None,Vandalism,127.88544395143964
Stormy,Afternoon,Zone A,None,None,38.89487925043085
Cloudy,Afternoon,Zone E,Minor,None,112.0
Stormy,Afternoon,Zone D,None,Assault,78.58121432948533
Cloudy,Afternoon,Zone D,Severe,None,99.71836181372946
Cloudy,Morning,Zone A,Severe,Assault,179.58770536415258
Rainy,Evening,Zone E,None,None,88.28052135533979
Cloudy,Morning,Zone A,Minor,None,203.02952894927782
Clear,Evening,Zone A,Minor,Vandalism,139.5727588884892
Foggy,Evening,Zone E,None,Drug Offense,112.24941699739621
Foggy,Night,Zone E,Major,Drug Offense,67.0
Stormy,Morning,Zone B,None,Assault,104.2095628069263
Cloudy,Evening,Zone D,None,Theft,117.54206513533198
Clear,Morning,Zone A,Severe,Vandalism,224.1138125811409
Stormy,Morning,Zone C,Major,Theft,118.27476742554308
Rainy,Evening,Zone A,Severe,Vandalism,213.5333381936893
Stormy,Evening,Zone A,Minor,Theft,164.47567465219382
Stormy,Afternoon,Zone C,None,Assault,62.351355886037894
Cloudy,Night,Zone D,Minor,Assault,87.0
Rainy,Evening,Zone B,None,Vandalism,90.39360075405081
Stormy,Evening,Zone E,Major,None,204.373728408929
Clear,Evening,Zone B,None,Vandalism,78.20143190625447
Clear,Night,Zone A,Major,Assault,63.3893684610073
Foggy,Morning,Zone A,Major,Drug Offense,165.49058210225283
Rainy,Afternoon,Zone C,Major,None,89.0
Rainy,Afternoon,Zone C,Severe,Theft,35.55728194252557
Foggy,Morning,Zone A,Minor,None,135.61115024783246
Stormy,Night,Zone B,Severe,Vandalism,48.94258517116801
Rainy,Night,Zone B,None,Drug Offense,52.62234259568199
Clear,Evening,Zone D,None,Vandalism,77.47115498264505
Clear,Night,Zone A,Major,None,50.476423853456794
Cloudy,Night,Zone E,Major,Drug Offense,77.0
Rainy,Evening,Zone E,Major,Theft,105.59205011153594
Stormy,Morning,Zone B,Minor,Vandalism,241.93051161422835
Foggy,Afternoon,Zone C,Severe,Theft,106.97402296344745
Foggy,Morning,Zone C,Severe,None,218.365502718722
Stormy,Morning,Zone B,None,Vandalism,101.8834027189265
Cloudy,Evening,Zone D,None,Vandalism,129.29553881086787
Foggy,Morning,Zone A,None,Vandalism,83.53577204502756
Rainy,Night,Zone E,None,Drug Offense,71.34228848949537
Cloudy,Morning,Zone B,Major,Vandalism,135.71514814057483
Rainy,Morning,Zone C,Major,Drug Offense,124.6558951325643
Clear,Evening,Zone A,Severe,Assault,131.77015660241767
Cloudy,Evening,Zone E,Minor,Vandalism,129.18494646636802
Foggy,Afternoon,Zone D,Severe,Assault,39.135367373819996
Cloudy,Night,Zone B,Major,Theft,57.0
Cloudy,Night,Zone A,None,None,45.685432939285036
Cloudy,Afternoon,Zone E,Major,Vandalism,77.0
Cloudy,Afternoon,Zone D,Major,Theft,61.0
Rainy,Evening,Zone C,Minor,Assault,166.16129425013634
Clear,Afternoon,Zone A,Severe,Drug Offense,55.22281789055258
Stormy,Morning,Zone B,Severe,Drug Offense,206.8878162235689
Cloudy,Afternoon,Zone E,Severe,Assault,111.15802539336268
Foggy,Morning,Zone C,None,Theft,116.64042346350747
Cloudy,Afternoon,Zone C,Severe,Vandalism,77.5561459641623
Foggy,Evening,Zone E,Minor,Theft,165.0944266432177
